Date;Plant;X;Y;Z_Tip-105.4cm;Z_Tip-91.5cm
03/05/2021;P2;-18;86,4;104;
03/05/2021;P2;-18;88;96;
03/05/2021;P2;-18;89,6;101;
03/05/2021;P2;-18;91,2;118;
03/05/2021;P2;-18;92,8;120;
03/05/2021;P2;-18;94,4;121;
03/05/2021;P2;-18;96;127;
03/05/2021;P2;-18;97,6;122;
03/05/2021;P2;-18;99,2;122;
03/05/2021;P2;-18;100,8;124;
03/05/2021;P2;-18;102,4;125;
03/05/2021;P2;-13;1,6;153;
03/05/2021;P2;-13;3,2;150;
03/05/2021;P2;-13;4,8;152;
03/05/2021;P2;-13;6,4;156;
03/05/2021;P2;-13;8;150;
03/05/2021;P2;-13;9,6;152;
03/05/2021;P2;-13;11,2;152;
03/05/2021;P2;-13;12,8;150;
03/05/2021;P2;-13;14,4;157;
03/05/2021;P2;-13;16;153;
03/05/2021;P2;-13;17,6;153;
03/05/2021;P2;-13;19,2;157;
03/05/2021;P2;-13;20,8;156;
03/05/2021;P2;-13;22,4;156;
03/05/2021;P2;-13;24;160;
03/05/2021;P2;-13;25,6;158;
03/05/2021;P2;-13;27,2;162;
03/05/2021;P2;-13;28,8;160;
03/05/2021;P2;-13;30,4;155;
03/05/2021;P2;-13;32;159;
03/05/2021;P2;-13;33,6;159;
03/05/2021;P2;-13;35,2;157;
03/05/2021;P2;-13;36,8;157;
03/05/2021;P2;-13;38,4;154;
03/05/2021;P2;-13;40;158;
03/05/2021;P2;-13;41,6;160;
03/05/2021;P2;-13;43,2;150;
03/05/2021;P2;-13;44,8;139;
03/05/2021;P2;-13;46,4;131;
03/05/2021;P2;-13;48;105;
03/05/2021;P2;-13;49,6;100;
03/05/2021;P2;-13;51,2;93;
03/05/2021;P2;-13;52,8;83;
03/05/2021;P2;-13;54,4;78;
03/05/2021;P2;-13;56;81;
03/05/2021;P2;-13;57,6;92;
03/05/2021;P2;-13;59,2;77;
03/05/2021;P2;-13;60,8;65;
03/05/2021;P2;-13;62,4;75;
03/05/2021;P2;-13;64;88;
03/05/2021;P2;-13;65,6;93;
03/05/2021;P2;-13;67,2;88;
03/05/2021;P2;-13;68,8;100;
03/05/2021;P2;-13;70,4;101;
03/05/2021;P2;-13;72;106;
03/05/2021;P2;-13;73,6;94;
03/05/2021;P2;-13;75,2;96;
03/05/2021;P2;-13;76,8;97;
03/05/2021;P2;-13;78,4;104;
03/05/2021;P2;-13;80;108;
03/05/2021;P2;-13;81,6;109;
03/05/2021;P2;-13;83,2;99;
03/05/2021;P2;-13;84,8;98;
03/05/2021;P2;-13;86,4;103;
03/05/2021;P2;-13;88;112;
03/05/2021;P2;-13;89,6;118;
03/05/2021;P2;-13;91,2;119;
03/05/2021;P2;-13;92,8;122;
03/05/2021;P2;-13;94,4;124;
03/05/2021;P2;-13;96;120;
03/05/2021;P2;-13;97,6;123;
03/05/2021;P2;-13;99,2;127;
03/05/2021;P2;-13;100,8;125;
03/05/2021;P2;-13;102,4;125;
03/05/2021;P2;-8;1,6;163;
03/05/2021;P2;-8;3,2;159;
03/05/2021;P2;-8;4,8;156;
03/05/2021;P2;-8;6,4;162;
03/05/2021;P2;-8;8;156;
03/05/2021;P2;-8;9,6;154;
03/05/2021;P2;-8;11,2;156;
03/05/2021;P2;-8;12,8;153;
03/05/2021;P2;-8;14,4;157;
03/05/2021;P2;-8;16;155;
03/05/2021;P2;-8;17,6;153;
03/05/2021;P2;-8;19,2;154;
03/05/2021;P2;-8;20,8;153;
03/05/2021;P2;-8;22,4;151;
03/05/2021;P2;-8;24;155;
03/05/2021;P2;-8;25,6;153;
03/05/2021;P2;-8;27,2;152;
03/05/2021;P2;-8;28,8;145;
03/05/2021;P2;-8;30,4;141;
03/05/2021;P2;-8;32;142;
03/05/2021;P2;-8;33,6;147;
03/05/2021;P2;-8;35,2;140;
03/05/2021;P2;-8;36,8;134;
03/05/2021;P2;-8;38,4;131;
03/05/2021;P2;-8;40;132;
03/05/2021;P2;-8;41,6;138;
03/05/2021;P2;-8;43,2;142;
03/05/2021;P2;-8;44,8;128;
03/05/2021;P2;-8;46,4;126;
03/05/2021;P2;-8;48;117;
03/05/2021;P2;-8;49,6;114;
03/05/2021;P2;-8;51,2;88;
03/05/2021;P2;-8;52,8;77;
03/05/2021;P2;-8;54,4;66;
03/05/2021;P2;-8;56;66;
03/05/2021;P2;-8;57,6;72;
03/05/2021;P2;-8;59,2;74;
03/05/2021;P2;-8;60,8;70;
03/05/2021;P2;-8;62,4;75;
03/05/2021;P2;-8;64;90;
03/05/2021;P2;-8;65,6;93;
03/05/2021;P2;-8;67,2;98;
03/05/2021;P2;-8;68,8;95;
03/05/2021;P2;-8;70,4;88;
03/05/2021;P2;-8;72;82;
03/05/2021;P2;-8;73,6;86;
03/05/2021;P2;-8;75,2;85;
03/05/2021;P2;-8;76,8;79;
03/05/2021;P2;-8;78,4;78;
03/05/2021;P2;-8;80;70;
03/05/2021;P2;-8;81,6;69;
03/05/2021;P2;-8;83,2;69;
03/05/2021;P2;-8;84,8;69;
03/05/2021;P2;-8;86,4;82;
03/05/2021;P2;-8;88;98;
03/05/2021;P2;-8;89,6;95;
03/05/2021;P2;-8;91,2;110;
03/05/2021;P2;-8;92,8;106;
03/05/2021;P2;-8;94,4;103;
03/05/2021;P2;-8;96;102;
03/05/2021;P2;-8;97,6;98;
03/05/2021;P2;-8;99,2;99;
03/05/2021;P2;-8;100,8;97;
03/05/2021;P2;-8;102,4;94;
03/05/2021;P2;-3;1,6;163;
03/05/2021;P2;-3;3,2;168;
03/05/2021;P2;-3;4,8;166;
03/05/2021;P2;-3;6,4;168;
03/05/2021;P2;-3;8;169;
03/05/2021;P2;-3;9,6;163;
03/05/2021;P2;-3;11,2;163;
03/05/2021;P2;-3;12,8;163;
03/05/2021;P2;-3;14,4;159;
03/05/2021;P2;-3;16;157;
03/05/2021;P2;-3;17,6;156;
03/05/2021;P2;-3;19,2;152;
03/05/2021;P2;-3;20,8;158;
03/05/2021;P2;-3;22,4;154;
03/05/2021;P2;-3;24;153;
03/05/2021;P2;-3;25,6;156;
03/05/2021;P2;-3;27,2;150;
03/05/2021;P2;-3;28,8;145;
03/05/2021;P2;-3;30,4;143;
03/05/2021;P2;-3;32;136;
03/05/2021;P2;-3;33,6;138;
03/05/2021;P2;-3;35,2;119;
03/05/2021;P2;-3;36,8;85;
03/05/2021;P2;-3;38,4;85;
03/05/2021;P2;-3;40;102;
03/05/2021;P2;-3;41,6;101;
03/05/2021;P2;-3;43,2;97;
03/05/2021;P2;-3;44,8;90;
03/05/2021;P2;-3;46,4;94;
03/05/2021;P2;-3;48;103;
03/05/2021;P2;-3;49,6;103;
03/05/2021;P2;-3;51,2;100;
03/05/2021;P2;-3;52,8;96;
03/05/2021;P2;-3;54,4;81;
03/05/2021;P2;-3;56;71;
03/05/2021;P2;-3;57,6;71;
03/05/2021;P2;-3;59,2;59;
03/05/2021;P2;-3;60,8;65;
03/05/2021;P2;-3;62,4;62;
03/05/2021;P2;-3;64;70;
03/05/2021;P2;-3;65,6;79;
03/05/2021;P2;-3;67,2;67;
03/05/2021;P2;-3;68,8;67;
03/05/2021;P2;-3;70,4;67;
03/05/2021;P2;-3;72;64;
03/05/2021;P2;-3;73,6;61;
